target,period
TIC57963765,0.3210187
TIC5868998,0.6356447
TIC59038877,0.3053691
TIC59038880,0.3053725
TIC59739922,0.5543471
TIC60657338,0.2996869
TIC60987622,0.269598
TIC611402948,0.0933697
TIC61285257,0.2345175
TIC61351519,0.2048657
TIC61730680,0.3365551
TIC62257830,0.2060441
TIC627436,0.5789058
TIC63309085,0.3464973
TIC63368767,0.6461027
TIC65348716,0.4948549
TIC65448527,0.6678304
TIC66080183,0.4011578
TIC661540044,0.461292
TIC66715008,0.3984963
TIC67296459,0.321231
TIC67474119,0.4569562
TIC67686223,0.4169261
TIC67686556,0.3215666
TIC67687692,0.664172
TIC67707714,0.3171474
TIC67808952,0.3279029
TIC69559020,0.2908637
TIC69838619,0.3833245
TIC69889494,0.5090071
TIC70761941,0.2654127
TIC70914192,0.6095223
TIC71026173,0.6795061
TIC71107089,0.3576366
TIC71266846,0.1336195
TIC72588909,0.5731825
TIC73455146,0.6693594
TIC73764693,0.139296
TIC742037143,0.1872909
TIC75352949,0.4720387
TIC75377304,0.4026334
TIC75818403,0.5635614
TIC76698707,0.5278686
TIC7724421,0.6405998
TIC77437462,0.6079304
TIC77468221,0.7025997
TIC77557473,0.5815637
TIC77630842,0.2698741
TIC79403459,0.4353347
TIC79635841,0.4654716
TIC802015620,0.5090537
TIC82224114,0.3761241
TIC8245065,0.3280228
TIC85585153,0.4976325
TIC8673277,0.4211697
TIC8769657,0.4264695
TIC88118399,0.2478252
TIC88459699,0.1451026
TIC88646716,0.4149777
TIC89239251,0.3144381
TIC89428764,0.3766095
TIC89502706,0.4794193
TIC89543393,0.4707912
TIC89787749,0.5413152
TIC8989778,0.6127979
TIC9070070,0.4814247
TIC90836525,0.3138837
TIC9172417,0.2451915
TIC92938279,0.2750419
TIC92938280,0.2750374
TIC93053299,0.4110905
TIC93316328,0.5157767
TIC93681365,0.3960371
TIC9461737,0.6369756
TIC94637805,0.2768891
TIC95525589,0.2180114
TIC95525590,0.2180114
TIC95927692,0.6609839
TIC97472236,0.6384973
TIC9825731,0.5907443
TIC9845586,0.3601126
TIC98478039,0.6682271
TIC98628827,0.4908602
TIC99465976,0.6243709
TIC99641129,0.0956464
TIC99746674,0.2716514
TIC99784331,0.5234661
TIC352951628,0.707084
TIC169814134,0.7078464
TIC12631605,0.7088063
TIC126602778,0.7121198
TIC298700310,0.7130761
TIC1129452,0.7140171
TIC99646802,0.7155582
TIC156414921,0.7158579
TIC15613315,0.7166323
TIC67813700,0.7173662
TIC161563111,0.7177675
TIC55339898,0.7196603
TIC167005326,0.7204063
TIC122285268,0.7208626
TIC129888462,0.7224241
TIC279156705,0.7228749
TIC144149848,0.7233873
TIC210116141,0.724345
TIC141525324,0.724898
TIC143318403,0.7252496
TIC356192212,0.7273306
TIC220521199,0.7288498
TIC405034090,0.7295017
TIC128344724,0.7299716
TIC394179296,0.7309274
TIC37601240,0.7313791
TIC122712115,0.7314944
TIC322078735,0.7316135
TIC61386324,0.7318433
TIC229538190,0.7325984
TIC164646288,0.7337361
TIC307216760,0.7340051
TIC332064670,0.7363201
TIC452172479,0.738522
TIC352954787,0.7385986
TIC325412896,0.7386687
TIC185059488,0.7397428
TIC423387084,0.7408448
TIC278895603,0.7409491
TIC53896096,0.7410489
TIC428003183,0.7425756
TIC275119073,0.7430297
TIC152825521,0.743132
TIC25195864,0.7435968
TIC79328890,0.7440359
TIC309402205,0.7444099
TIC424461577,0.7448233
TIC299156852,0.7450968
TIC156169159,0.7452159
TIC77703308,0.7462729
TIC184176428,0.7468293
TIC222945452,0.7482019
TIC298541138,0.7490567
TIC281498280,0.7506328
TIC273571987,0.7514777
TIC428186617,0.7516098
TIC410359089,0.752322
TIC200363295,0.7531866
TIC211412634,0.7535755
TIC184739277,0.7536607
TIC219310882,0.7542206
TIC200792606,0.7545101
TIC115443990,0.7553465
TIC312907176,0.7579494
TIC288312840,0.7592418
TIC219403686,0.7602518
TIC278075650,0.7603524
TIC469460566,0.7612417
TIC63623869,0.7631187
TIC14091704,0.7650591
TIC394099697,0.7652936
TIC167123437,0.767151
TIC166606391,0.7673139
TIC160081043,0.7687018
TIC456263109,0.771336
TIC29914747,0.7713663
TIC92234970,0.7719217
TIC453059861,0.7720541
TIC14842303,0.7725964
TIC158794976,0.7728167
TIC258351350,0.7729454
TIC470444880,0.7732767
TIC219739347,0.7735263
TIC365089053,0.7755622
TIC300972613,0.7761167
TIC141126559,0.7766603
TIC137408962,0.7770084
TIC299032481,0.7770872
TIC140212820,0.7776763
TIC228760807,0.7779784
TIC11002748,0.778715
TIC198037741,0.7799848
